0,frame,right_elbow_angle,right_shoulder_angle,right_wrist_angle,left_elbow_angle,left_shoulder_angle,left_wrist_angle
1,1,177.0751911060818,95.7312398291356,178.39611926845268,181.9867511699806,100.78051320723046,165.17992701526623
2,2,177.8595073787421,95.76878806435653,177.86816774097943,182.584253745872,100.69365320497849,162.90592503032542
3,3,178.26401885598014,95.78667240078613,177.65941988112405,183.4491868020563,100.95537318070586,162.16748755449473
4,4,178.49098527457897,95.65206155500024,177.57274520520812,183.62652643281157,101.06106985744361,161.85561162685508
5,5,178.55408640699108,95.67410314488606,177.44260216806336,183.7250705599561,101.19511896357488,161.6982475351198
6,6,178.52176299801965,95.64494731932079,177.9430342616862,183.90750102780345,101.36498377178941,161.94721912062496
7,7,178.4982690004305,95.59890395399344,178.27642920566848,183.76688341077113,101.47775562542415,161.9287364057226
8,8,178.40734509855957,95.55493101259745,178.44823320188735,183.53702020172628,101.58068333190073,162.88136202132804
9,9,178.4918848904539,95.49059811662714,178.98428445029856,183.4682827620479,101.75954684381497,163.43967643503035
10,10,178.41552493490016,95.44351366087369,179.39178019789028,183.4192538642838,101.87830508432859,164.48609640893758
11,11,178.42664116083708,95.43884118669925,179.43642931607133,183.43981964412458,101.99393488455831,164.90423463000525
12,12,178.42692306817563,95.41752885134244,179.5152884038183,183.41907675978393,102.01587307169518,164.50546985659832
13,13,178.4165804311364,95.40767338840558,179.87673298013712,183.4760679273332,102.12991639363429,164.81619888321603
14,14,178.40574288171803,95.40237726579305,180.651730028553,183.42904992386357,102.13977078589443,164.20753599358216
15,15,178.4216301242141,95.36196476589069,181.26322945950207,183.4016173340177,102.16163972728032,162.62689229540214
16,16,178.4298210347635,95.2946726755771,193.04655269829112,182.77842071205578,102.10321018096408,156.0155766816301
17,17,178.41197440089545,95.3051785894924,203.65258103434758,182.51050464455113,102.20486531117808,154.24593374165605
18,18,178.63350646968794,95.27114615094122,213.24584720102743,181.53814782934015,102.12316983483697,151.79616848327197
19,19,179.61238458517556,95.27714973980969,221.35647561518138,180.84429973100504,102.05190681165607,149.78101228718606
20,20,181.11706934531387,95.21385305127346,226.11575969701354,179.83350635668384,101.93198748665412,147.87032802808667
21,21,182.96718407967953,95.23703128976076,229.9310979141297,178.97392833308828,102.19277220084871,149.93188568146206
22,22,184.0475681931151,95.25513118941114,231.3987269890621,178.47409986953218,102.348923730497,150.4417150633143
23,23,184.8416121436225,95.2009332036482,232.09553194739328,178.20937546864513,102.45936811370984,149.53182712987137
24,24,185.36434264000286,95.19488538951983,232.09568232976318,178.06843433499895,102.52346854718996,149.70394659004225
25,25,185.56070134919813,95.17649244368387,231.39772064619746,177.79664479154223,102.556104746198,150.23056839010604
26,26,185.52997969074218,95.19006592810457,231.46965977163578,177.7606960097812,102.59060745611782,150.64710460897794
27,27,185.40397265299612,95.21445235718438,227.7319090117698,177.89537962637243,102.64962542977361,150.26659328423602
28,28,184.9224683027809,95.33890287932532,224.8522572355087,178.59637507890176,102.98812230051283,150.50116199818035
29,29,184.13981366277733,95.54547069201394,218.13296248087454,179.56275317020376,103.4768931909145,150.84698226662542
30,30,183.83689832820292,95.65980168452677,212.817643812291,180.31704337118498,103.85790931401903,151.95135282772685
31,31,182.89581114624744,96.09423786992707,205.35430526328162,180.93233999912715,104.15090143024082,154.12557936400583
32,32,181.88815311768624,96.55327567767273,198.41671798623477,181.6039425022578,104.56100717896416,156.02645053716884
33,33,181.10531708912416,96.67232110140701,154.50793743133877,183.0814932687954,104.97465998977077,177.15568915638187
34,34,179.9051803531678,96.94211372039075,140.9259759094742,184.5811884232018,105.28406551653501,190.6464539834764
35,35,178.76978248268497,96.76876819335908,134.664199890684,185.5746854996541,105.54997123604099,201.06617052235453
36,36,177.45117656334517,96.69133193065905,132.88872012735322,186.32930312084255,105.75882807681097,203.50440163261524
37,37,176.5147013620464,96.60763849926185,132.55974757543558,187.343728352744,106.05666565065454,205.90554540017047
38,38,175.85856209447766,96.47727916736618,132.48203456371718,188.410119509927,106.26239497582111,210.53605297313578
39,39,175.4850467283278,96.31367241221159,132.6924707362215,189.20893865583128,106.40520088688893,211.9076868185805
40,40,175.24715594671636,96.37835468620597,133.59805776037354,189.44686466897898,106.53466503409922,212.51099319230326
41,41,173.964844565081,96.94873498106176,134.8118356067831,189.71013160812817,106.77257937555521,210.11301995397326
42,42,173.59362852950565,97.12047446466846,135.4839583107753,190.1400709857126,106.99113026924493,208.46398825803843
43,43,173.41146408627282,97.27164321281958,136.16159060753859,190.54279539020104,107.17950697793077,208.24899344106862
44,44,172.70771755246545,97.63772525917517,136.66816712483896,190.5521707245262,107.20063073740266,207.3731421154754
45,45,173.97364835213017,97.62726869459044,144.99480202751084,190.35219074231026,107.05348713872678,205.71071052673585
46,46,174.50951055177322,97.55665894466864,151.50493483191806,190.0294674475158,106.65129295654941,201.58958056323624
47,47,174.7398988292365,97.56115249433702,158.726236216587,189.89442235625654,106.52158787919501,189.10013830570568
48,48,174.95960288451926,97.47106202970167,164.03679880403814,189.73482323740205,106.35343887013352,176.69698902576627
49,49,175.50523576720138,97.27447235308432,171.83557915019864,189.21055627584158,106.05290559726751,164.5557278353035
50,50,175.6760236727962,97.32037451372696,185.3350008487332,188.08721856707893,105.7157117085195,159.81748567590654
51,51,177.83604618217768,97.56563253389214,213.4212906411842,185.61628153427864,105.29804578772763,148.172944961371
52,52,180.0384153319528,97.64865359968934,219.8101930957977,183.1190103741005,105.15200072549266,146.7527673284526
